station,start_time,end_time,peak_level_cm,peak_time,duration_min,avg_gradient_cm_min,points_count
Herzogstraße_merged_export,2026-02-22T04:49:00Z,2026-02-22T05:04:00Z,2.1,2026-02-22T05:04:00Z,15,0.139,4
Herzogstraße_merged_export,2026-02-22T03:47:00Z,2026-02-22T04:27:00Z,2.1,2026-02-22T04:09:00Z,40,0.095,28
Herzogstraße_merged_export,2026-02-22T02:37:00Z,2026-02-22T02:37:00Z,2.3,2026-02-22T02:37:00Z,0,23,1
Herzogstraße_merged_export,2026-02-22T01:54:00Z,2026-02-22T02:08:00Z,2.6,2026-02-22T01:54:00Z,14,26,12
Herzogstraße_merged_export,2026-02-22T00:00:00Z,2026-02-22T01:25:00Z,6.4,2026-02-22T01:23:00Z,85,0.077,74
Herzogstraße_merged_export,2026-02-21T20:15:00Z,2026-02-21T22:50:00Z,3.5,2026-02-21T20:16:00Z,155,3.182,156
Herzogstraße_merged_export,2026-02-21T17:25:00Z,2026-02-21T17:25:00Z,4.4,2026-02-21T17:25:00Z,0,44,1
Herzogstraße_merged_export,2026-02-21T14:41:00Z,2026-02-21T16:26:00Z,3.9,2026-02-21T14:58:00Z,105,0.228,88
Herzogstraße_merged_export,2026-02-21T14:09:00Z,2026-02-21T14:09:00Z,5.1,2026-02-21T14:09:00Z,0,51,1
Herzogstraße_merged_export,2026-02-21T12:37:00Z,2026-02-21T12:50:00Z,5.3,2026-02-21T12:50:00Z,13,0.405,2
Herzogstraße_merged_export,2026-02-21T11:01:00Z,2026-02-21T11:12:00Z,5.5,2026-02-21T11:01:00Z,11,55,2
Herzogstraße_merged_export,2026-02-21T07:13:00Z,2026-02-21T09:00:00Z,3.9,2026-02-21T07:14:00Z,107,3.545,87
Herzogstraße_merged_export,2026-02-19T23:40:00Z,2026-02-19T23:59:00Z,1.6,2026-02-19T23:40:00Z,19,16,20
Herzogstraße_merged_export,2026-02-19T17:53:00Z,2026-02-19T17:53:00Z,1.6,2026-02-19T17:53:00Z,0,16,1
Herzogstraße_merged_export,2026-02-19T14:46:00Z,2026-02-19T15:15:00Z,2.1,2026-02-19T14:46:00Z,29,21,16
Herzogstraße_merged_export,2026-02-19T13:40:00Z,2026-02-19T14:20:00Z,3,2026-02-19T13:53:00Z,40,0.229,39
Herzogstraße_merged_export,2026-02-19T12:14:00Z,2026-02-19T12:51:00Z,3.1,2026-02-19T12:34:00Z,37,0.154,21
Herzogstraße_merged_export,2026-02-19T10:15:00Z,2026-02-19T11:31:00Z,3.4,2026-02-19T10:36:00Z,76,0.161,64
Herzogstraße_merged_export,2026-02-19T09:47:00Z,2026-02-19T09:47:00Z,4.7,2026-02-19T09:47:00Z,0,47,1
Herzogstraße_merged_export,2026-02-19T08:43:00Z,2026-02-19T08:43:00Z,2.7,2026-02-19T08:43:00Z,0,27,1
Herzogstraße_merged_export,2026-02-19T05:06:00Z,2026-02-19T05:17:00Z,1.8,2026-02-19T05:06:00Z,11,18,11
Königsallee_Springorum_merged_export,2026-02-19T04:22:00Z,2026-02-19T04:22:00Z,1.8,2026-02-19T04:22:00Z,0,18,1
Wasserbaulabor_2_merged_export,2026-02-18T09:18:15Z,2026-02-18T09:48:45Z,3.1,2026-02-18T09:36:00Z,30.5,0.174,206
Herzogstraße_merged_export,2026-02-18T00:52:00Z,2026-02-18T00:52:00Z,4.7,2026-02-18T00:52:00Z,0,47,2
Herzogstraße_merged_export,2026-02-18T00:18:00Z,2026-02-18T00:18:00Z,4.3,2026-02-18T00:18:00Z,0,43,2
Herzogstraße_merged_export,2026-02-17T20:26:00Z,2026-02-17T21:42:00Z,3.5,2026-02-17T20:33:00Z,76,0.493,110
Herzogstraße_merged_export,2026-02-17T16:20:00Z,2026-02-17T16:37:00Z,2.6,2026-02-17T16:25:00Z,17,0.51,34
Herzogstraße_merged_export,2026-02-17T15:34:00Z,2026-02-17T15:43:00Z,3.7,2026-02-17T15:37:00Z,9,1.194,20
Herzogstraße_merged_export,2026-02-17T14:00:00Z,2026-02-17T14:56:00Z,2.2,2026-02-17T14:56:00Z,56,0.039,12
Herzogstraße_merged_export,2026-02-17T11:07:00Z,2026-02-17T13:27:00Z,3.8,2026-02-17T12:12:00Z,140,0.058,212
Herzogstraße_merged_export,2026-02-17T08:31:00Z,2026-02-17T08:47:00Z,2.4,2026-02-17T08:31:00Z,16,24,32
Herzogstraße_merged_export,2026-02-17T04:02:00Z,2026-02-17T07:08:00Z,5,2026-02-17T06:31:00Z,186,0.034,244
Herzogstraße_merged_export,2026-02-17T00:57:00Z,2026-02-17T00:58:00Z,2.7,2026-02-17T00:58:00Z,1,2.455,4
Herzogstraße_merged_export,2026-02-16T23:14:00Z,2026-02-17T00:28:00Z,2.8,2026-02-16T23:15:00Z,74,2.545,110
Herzogstraße_merged_export,2026-02-16T12:15:00Z,2026-02-16T13:06:00Z,3.2,2026-02-16T12:17:00Z,51,1.524,104
Herzogstraße_merged_export,2026-02-16T10:46:00Z,2026-02-16T11:36:00Z,3.3,2026-02-16T11:21:00Z,50,0.094,88
Herzogstraße_merged_export,2026-02-16T09:17:00Z,2026-02-16T09:36:00Z,3,2026-02-16T09:20:00Z,19,0.968,36
Herzogstraße_merged_export,2026-02-16T06:46:00Z,2026-02-16T07:09:00Z,2.8,2026-02-16T07:00:00Z,23,0.199,48
Herzogstraße_merged_export,2026-02-16T05:35:00Z,2026-02-16T06:20:00Z,2,2026-02-16T05:35:00Z,45,20,66
Herzogstraße_merged_export,2026-02-16T05:04:00Z,2026-02-16T05:12:00Z,2.5,2026-02-16T05:06:00Z,8,1.19,18
Herzogstraße_merged_export,2026-02-15T23:37:00Z,2026-02-15T23:53:00Z,1.8,2026-02-15T23:45:00Z,16,0.222,14
Herzogstraße_merged_export,2026-02-15T10:21:00Z,2026-02-15T10:21:00Z,5.1,2026-02-15T10:21:00Z,0,51,2
Herzogstraße_merged_export,2026-02-15T06:12:00Z,2026-02-15T06:12:00Z,4.2,2026-02-15T06:12:00Z,0,42,2
Herzogstraße_merged_export,2026-02-14T15:24:00Z,2026-02-14T15:24:00Z,4.4,2026-02-14T15:24:00Z,0,44,2
Herzogstraße_merged_export,2026-02-13T10:42:00Z,2026-02-13T10:46:00Z,1.6,2026-02-13T10:42:00Z,4,16,10
Herzogstraße_merged_export,2026-02-13T09:17:00Z,2026-02-13T09:17:00Z,6.1,2026-02-13T09:17:00Z,0,61,2
Herzogstraße_merged_export,2026-02-13T08:02:00Z,2026-02-13T08:02:00Z,5.7,2026-02-13T08:02:00Z,0,57,2
Herzogstraße_merged_export,2026-02-13T02:01:00Z,2026-02-13T02:01:00Z,5,2026-02-13T02:01:00Z,0,50,2
Herzogstraße_merged_export,2026-02-12T20:22:00Z,2026-02-13T01:00:00Z,4.4,2026-02-12T20:49:00Z,278,0.162,454
Herzogstraße_merged_export,2026-02-12T15:22:00Z,2026-02-12T18:30:00Z,5,2026-02-12T15:22:00Z,188,50,272
Herzogstraße_merged_export,2026-02-12T14:40:00Z,2026-02-12T14:46:00Z,3.6,2026-02-12T14:42:00Z,6,1.714,14
Herzogstraße_merged_export,2026-02-12T13:26:00Z,2026-02-12T13:51:00Z,3.4,2026-02-12T13:39:00Z,25,0.26,52
Herzogstraße_merged_export,2026-02-12T11:47:00Z,2026-02-12T11:47:00Z,4.4,2026-02-12T11:47:00Z,0,44,2
Herzogstraße_merged_export,2026-02-12T06:16:00Z,2026-02-12T09:00:00Z,4,2026-02-12T07:53:00Z,164,0.041,280
Herzogstraße_merged_export,2026-02-12T05:43:00Z,2026-02-12T05:44:00Z,6.1,2026-02-12T05:43:00Z,1,61,4
Herzogstraße_merged_export,2026-02-12T04:53:00Z,2026-02-12T04:58:00Z,4.3,2026-02-12T04:53:00Z,5,43,4
Herzogstraße_merged_export,2026-02-11T20:40:00Z,2026-02-12T04:00:00Z,3.1,2026-02-12T03:09:00Z,440,0.008,722
Herzogstraße_merged_export,2026-02-11T20:13:00Z,2026-02-11T20:13:00Z,1.7,2026-02-11T20:13:00Z,0,17,2
Herzogstraße_merged_export,2026-02-11T19:41:00Z,2026-02-11T19:41:00Z,1.9,2026-02-11T19:41:00Z,0,19,2
Herzogstraße_merged_export,2026-02-11T12:54:00Z,2026-02-11T15:59:00Z,4.1,2026-02-11T13:27:00Z,185,0.124,354
