"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","points_count","total_precip_mm","max_intensity_mm_h","openmeteo_verified","dwd_risk_level","radolan_verified","level_reliable"
"Wasserbaulabor_2","2025/02/22 00:30:00","2025/02/22 02:15:00",19.4,"2025/02/22 00:45:00",105,1.285,"Sturzflut-Ereignis",4,0,0,NA,"Level 0 – Kein nennenswerter Regen",FALSE,NA
"Wasserbaulabor_2","2025/02/22 08:30:00","2025/02/22 09:15:00",19.6,"2025/02/22 09:00:00",45,0.651,"Sturzflut-Ereignis",4,NA,NA,NA,NA,NA,NA
"Wasserbaulabor_2","2025/02/22 19:15:00","2025/02/22 21:00:00",20.4,"2025/02/22 20:30:00",105,0.272,"Regenereignis / Natürlich",6,NA,NA,NA,NA,NA,NA
"Wasserbaulabor_2","2025/02/25 03:45:00","2025/02/25 05:00:00",20.7,"2025/02/25 04:45:00",75,0.344,"Regenereignis / Natürlich",4,0,0,NA,"Level 0 – Kein nennenswerter Regen",FALSE,NA
"Wasserbaulabor_2","2025/02/26 21:30:00","2025/02/27 00:00:00",29.2,"2025/02/26 23:45:00",150,0.216,"Regenereignis / Natürlich",10,0,0,NA,"Level 0 – Kein nennenswerter Regen",FALSE,NA
"Wasserbaulabor_2","2025/02/26 21:45:00","2025/02/27 01:15:00",29.2,"2025/02/26 23:45:00",210,0.243,"Regenereignis / Natürlich",7,NA,NA,NA,NA,NA,NA
"Wasserbaulabor_2","2025/03/05 22:15:00","2025/03/06 01:00:00",28.9,"2025/03/05 23:15:00",165,0.481,"Regenereignis / Natürlich",12,0,0,NA,"Level 0 – Kein nennenswerter Regen",FALSE,NA
"An_der_Kost","2025/09/01 14:09:00","2025/09/01 19:53:30",0.3,"2025/09/01 16:31:00",344.5,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",688,0.32,2.04,NA,NA,TRUE,NA
"An_der_Kost","2025/09/02 08:38:00","2025/09/03 01:30:00",0.4,"2025/09/02 11:06:30",1012,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",1211,0.08,0.72,NA,NA,TRUE,NA
"Wasserbaulabor_2","2025/09/02 18:00:00","2025/09/02 21:30:00",0.8,"2025/09/02 20:45:00",210,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",6,NA,NA,NA,NA,NA,NA
"Wasserbaulabor_2","2025/09/04 00:15:00","2025/09/04 04:00:00",0.5,"2025/09/04 02:30:00",225,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",8,NA,NA,NA,NA,NA,NA
"An_der_Kost","2025/09/04 07:12:00","2025/09/04 22:35:00",0.3,"2025/09/04 09:22:00",923,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",918,3.76,5.4,NA,NA,TRUE,NA
"Wasserbaulabor_2","2025/09/04 17:45:00","2025/09/04 20:15:00",0.5,"2025/09/04 18:15:00",150,0.017,"Leichter Regen / Unterhalb DWD-Schwelle",6,NA,NA,NA,NA,NA,NA
"An_der_Kost","2025/09/05 08:50:00","2025/09/05 16:28:00",0.3,"2025/09/05 08:55:00",458,0.059,"Leichter Regen / Unterhalb DWD-Schwelle",453,2.47,7.2,NA,NA,TRUE,NA
"Wasserbaulabor_2","2025/09/06 09:30:00","2025/09/06 13:15:00",0.5,"2025/09/06 11:00:00",225,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",6,NA,NA,NA,NA,NA,NA
"Wasserbaulabor_2","2025/09/06 23:00:00","2025/09/07 03:00:00",0.5,"2025/09/06 23:45:00",240,0.011,"Leichter Regen / Unterhalb DWD-Schwelle",7,NA,NA,NA,NA,NA,NA
"An_der_Kost","2025/09/09 02:54:00","2025/09/09 07:11:00",0.4,"2025/09/09 05:21:00",257,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",258,6.15,9.48,NA,NA,TRUE,NA
"An_der_Kost","2025/09/09 13:35:00","2025/09/09 21:53:00",0.3,"2025/09/09 14:25:00",498,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",495,1.38,3,NA,NA,TRUE,NA
"An_der_Kost","2025/09/13 06:56:00","2025/09/14 01:16:00",0.4,"2025/09/13 10:32:00",1100,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",1097,6.45,14.4,NA,NA,TRUE,NA
