"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","total_precip_mm","max_intensity_mm_h","radolan_verified","level_reliable","points_count"
"An_der_Kost","2026/02/22 17:16:00","2026/02/22 22:11:00",0.5,"2026/02/22 17:21:00",295,0.098,"Leichter Regen / Unterhalb DWD-Schwelle",4.54,4.68,TRUE,TRUE,296
"An_der_Kost","2026/02/22 09:58:00","2026/02/22 15:22:00",339.1,"2026/02/22 15:04:00",324,1.108,"Sturzflut-Ereignis",0.43,2.52,TRUE,TRUE,325
"An_der_Kost","2026/02/16 13:26:00","2026/02/16 16:12:00",0.5,"2026/02/16 14:46:00",166,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",0.49,0.72,TRUE,TRUE,334
"An_der_Kost","2026/01/14 04:18:00","2026/01/14 11:25:00",392.8,"2026/01/14 10:34:00",427,1.044,"Sturzflut-Ereignis",0.55,0.96,TRUE,TRUE,428
"An_der_Kost","2026/01/07 16:57:00","2026/01/07 18:45:00",349.7,"2026/01/07 17:50:00",108,6.586,"Sturzflut-Ereignis",0.75,2.4,TRUE,TRUE,109
"An_der_Kost","2025/12/06 03:29:00","2025/12/06 05:30:00",0.4,"2025/12/06 03:44:00",121,0.026,"Leichter Regen / Unterhalb DWD-Schwelle",0.9,5.04,TRUE,TRUE,122
"An_der_Kost","2025/12/04 00:25:00","2025/12/04 02:16:00",0.3,"2025/12/04 00:42:00",111,0.018,"Leichter Regen / Unterhalb DWD-Schwelle",1.19,1.08,TRUE,TRUE,112
"An_der_Kost","2025/11/16 20:13:00","2025/11/16 20:39:00",0.3,"2025/11/16 20:34:00",26,0.014,"Leichter Regen / Unterhalb DWD-Schwelle",0.15,0.84,TRUE,TRUE,27
"An_der_Kost","2025/11/15 00:51:00","2025/11/15 01:40:00",270.5,"2025/11/15 01:26:00",49,7.707,"Sturzflut-Ereignis",1.72,3.36,TRUE,TRUE,50
"An_der_Kost","2025/11/01 13:11:00","2025/11/01 14:33:00",0.4,"2025/11/01 13:38:00",82,0.015,"Leichter Regen / Unterhalb DWD-Schwelle",1.02,3,TRUE,TRUE,83
"An_der_Kost","2025/10/28 03:58:00","2025/10/28 11:23:00",392.1,"2025/10/28 07:27:00",445,1.875,"Sturzflut-Ereignis",0.6,1.2,TRUE,TRUE,446
"An_der_Kost","2025/10/23 16:32:00","2025/10/23 18:13:00",0.5,"2025/10/23 17:17:00",101,0.011,"Leichter Regen / Unterhalb DWD-Schwelle",0.52,2.4,TRUE,TRUE,102
"An_der_Kost","2025/09/25 16:34:00","2025/09/25 17:01:00",0.3,"2025/09/25 16:39:00",27,0.059,"Leichter Regen / Unterhalb DWD-Schwelle",1.1,7.08,TRUE,TRUE,28
"An_der_Kost","2025/09/14 22:23:00","2025/09/15 16:29:00",389.5,"2025/09/15 05:28:00",1086,0.916,"Sturzflut-Ereignis",0.86,3.24,TRUE,TRUE,1087
"An_der_Kost","2025/09/13 06:12:00","2025/09/14 01:16:00",342.1,"2025/09/13 15:26:00",1144,0.617,"Sturzflut-Ereignis",6.45,14.4,TRUE,TRUE,1145
"An_der_Kost","2025/09/09 13:08:00","2025/09/10 00:55:00",389.4,"2025/09/09 13:12:00",707,94.976,"Sturzflut-Ereignis",2.15,3.36,TRUE,TRUE,708
