"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","total_precip_mm","max_intensity_mm_h","radolan_verified","level_reliable","points_count"
"An_der_Kost","2026/07/26 18:02:30","2026/07/26 18:46:30",0.91,"2026/07/26 18:07:30",44,0.177,"Leichter Regen / Unterhalb DWD-Schwelle",0.06,0.72,TRUE,TRUE,89
"An_der_Kost","2026/06/21 01:43:00","2026/06/21 02:21:30",0.32,"2026/06/21 01:55:00",38.5,0.027,"Leichter Regen / Unterhalb DWD-Schwelle",0.21,1.32,TRUE,TRUE,78
"An_der_Kost","2026/06/12 07:38:00","2026/06/12 08:02:30",0.27,"2026/06/12 07:45:30",24.5,0.036,"Leichter Regen / Unterhalb DWD-Schwelle",0.78,1.92,TRUE,TRUE,50
"An_der_Kost","2026/06/10 16:52:30","2026/06/10 17:13:30",0.32,"2026/06/10 17:00:00",21,0.042,"Leichter Regen / Unterhalb DWD-Schwelle",1.77,4.8,TRUE,TRUE,43
"An_der_Kost","2026/06/08 20:00:00","2026/06/08 20:18:00",0.27,"2026/06/08 20:07:30",18,0.036,"Leichter Regen / Unterhalb DWD-Schwelle",0.91,5.28,TRUE,TRUE,37
"An_der_Kost","2026/05/31 03:41:30","2026/05/31 05:35:30",0.73,"2026/05/31 04:49:30",114,0.011,"Leichter Regen / Unterhalb DWD-Schwelle",1.44,3.6,TRUE,TRUE,229
"An_der_Kost","2026/05/11 06:13:00","2026/05/11 08:32:00",0.3,"2026/05/11 07:53:00",139,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",5.95,5.16,TRUE,TRUE,279
"An_der_Kost","2026/05/11 00:16:30","2026/05/11 05:04:00",0.35,"2026/05/11 02:00:00",287.5,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",6.47,3.72,TRUE,TRUE,576
"An_der_Kost","2026/04/19 00:24:30","2026/04/19 02:08:30",0.39,"2026/04/19 01:05:00",104,0.01,"Leichter Regen / Unterhalb DWD-Schwelle",6.36,20.16,TRUE,TRUE,209
"An_der_Kost","2026/04/11 21:52:00","2026/04/11 22:05:00",0.25,"2026/04/11 21:58:30",13,0.038,"Leichter Regen / Unterhalb DWD-Schwelle",2.29,7.8,TRUE,TRUE,27
"An_der_Kost","2026/04/11 19:15:30","2026/04/11 20:22:30",0.3,"2026/04/11 20:07:30",67,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",2.91,7.8,TRUE,TRUE,135
"An_der_Kost","2026/03/30 04:32:30","2026/03/30 05:01:00",0.27,"2026/03/30 04:45:00",28.5,0.021,"Leichter Regen / Unterhalb DWD-Schwelle",1.7,4.8,TRUE,TRUE,58
"An_der_Kost","2026/03/29 22:32:30","2026/03/29 23:48:30",0.26,"2026/03/29 23:18:30",76,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",2.2,2.04,TRUE,TRUE,153
"An_der_Kost","2026/03/28 06:59:00","2026/03/28 09:41:30",0.34,"2026/03/28 09:07:00",162.5,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",4.17,3.48,TRUE,TRUE,326
"An_der_Kost","2026/03/14 08:46:00","2026/03/14 09:54:30",0.28,"2026/03/14 08:54:30",68.5,0.033,"Leichter Regen / Unterhalb DWD-Schwelle",0.08,0.96,TRUE,TRUE,138
"An_der_Kost","2026/02/23 21:51:00","2026/02/24 05:24:00",0.46,"2026/02/24 03:24:00",453,0.001,"Leichter Regen / Unterhalb DWD-Schwelle",2.61,1.56,TRUE,TRUE,454
"An_der_Kost","2026/02/22 21:42:00","2026/02/22 22:19:00",0.42,"2026/02/22 21:55:00",37,0.032,"Leichter Regen / Unterhalb DWD-Schwelle",0.57,2.16,TRUE,TRUE,38
"An_der_Kost","2026/02/22 17:16:00","2026/02/22 19:47:00",0.43,"2026/02/22 17:27:00",151,0.039,"Leichter Regen / Unterhalb DWD-Schwelle",4.54,4.68,TRUE,TRUE,152
"An_der_Kost","2026/02/22 09:59:00","2026/02/22 15:21:00",0.43,"2026/02/22 11:53:00",322,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",0.43,2.52,TRUE,TRUE,323
"An_der_Kost","2026/02/22 00:10:00","2026/02/22 01:00:00",0.23,"2026/02/22 00:27:00",50,0.014,"Leichter Regen / Unterhalb DWD-Schwelle",2.82,3.84,TRUE,TRUE,51
"An_der_Kost","2026/02/19 09:31:00","2026/02/19 11:51:00",0.35,"2026/02/19 11:08:00",140,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",0.21,0.6,TRUE,TRUE,141
"An_der_Kost","2026/02/16 13:25:00","2026/02/16 16:13:00",0.54,"2026/02/16 14:46:00",168,0.007,"Leichter Regen / Unterhalb DWD-Schwelle",0.49,0.72,TRUE,TRUE,339
"An_der_Kost","2026/02/11 15:54:00","2026/02/11 18:28:00",0.35,"2026/02/11 16:27:00",154,0.01,"Leichter Regen / Unterhalb DWD-Schwelle",0.69,2.88,TRUE,TRUE,310
"An_der_Kost","2026/01/14 04:17:00","2026/01/14 11:18:00",0.67,"2026/01/14 06:29:00",421,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",0.55,0.96,TRUE,TRUE,423
"An_der_Kost","2026/01/09 10:51:00","2026/01/09 17:49:00",0.41,"2026/01/09 13:14:00",418,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",0.78,1.08,TRUE,TRUE,421
"An_der_Kost","2026/01/08 22:17:00","2026/01/09 02:28:00",0.22,"2026/01/09 01:23:00",251,0.001,"Leichter Regen / Unterhalb DWD-Schwelle",3.35,1.68,TRUE,TRUE,253
"An_der_Kost","2026/01/07 17:01:00","2026/01/07 18:46:00",0.25,"2026/01/07 17:27:00",105,0.01,"Leichter Regen / Unterhalb DWD-Schwelle",0.75,2.4,TRUE,TRUE,106
"An_der_Kost","2025/12/08 18:37:00","2025/12/09 04:02:00",0.57,"2025/12/08 19:50:00",565,0.008,"Leichter Regen / Unterhalb DWD-Schwelle",0.12,0.36,TRUE,TRUE,568
