"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","total_precip_mm","max_intensity_mm_h","radolan_verified","points_count"
"Herzogstraße","2026/04/02 05:20:00","2026/04/02 07:35:00",17.6,"2026/04/02 07:28:00",135,0.137,"Regenereignis / Natürlich",NA,NA,NA,114
"Herzogstraße","2026/04/01 07:56:00","2026/04/01 08:51:00",19,"2026/04/01 08:30:00",55,0.557,"Sturzflut-Ereignis",NA,NA,NA,50
"Herzogstraße","2026/03/29 21:11:00","2026/03/29 23:50:00",1.3,"2026/03/29 22:32:00",159,0.016,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,71
"Herzogstraße","2026/03/29 02:45:00","2026/03/29 03:50:00",1,"2026/03/29 03:46:00",65,0.016,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,15
"Herzogstraße","2026/03/28 13:54:00","2026/03/28 14:10:00",2,"2026/03/28 14:00:00",16,0.328,"Regenereignis / Natürlich",NA,NA,NA,14
"Herzogstraße","2026/03/25 10:11:00","2026/03/25 10:59:00",1.6,"2026/03/25 10:56:00",48,0.035,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,25
"Herzogstraße","2026/03/03 13:24:00","2026/03/03 15:46:00",38.9,"2026/03/03 14:20:00",142,0.693,"Sturzflut-Ereignis",NA,NA,NA,143
"Herzogstraße","2026/03/02 04:25:00","2026/03/02 06:18:00",26.7,"2026/03/02 06:15:00",113,0.243,"Regenereignis / Natürlich",NA,NA,NA,69
"Herzogstraße","2026/02/22 03:59:00","2026/02/22 04:21:00",0.6,"2026/02/22 04:06:00",22,0.085,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,15
"Herzogstraße","2026/02/22 00:00:00","2026/02/22 01:25:00",2.7,"2026/02/22 00:14:00",85,0.191,"Regenereignis / Natürlich",NA,NA,NA,71
"Herzogstraße","2026/02/20 17:50:00","2026/02/20 18:56:00",0.9,"2026/02/20 18:49:00",66,0.015,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,37
"Herzogstraße","2026/02/20 05:24:00","2026/02/20 07:21:00",1.3,"2026/02/20 05:36:00",117,0.107,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,68
"Herzogstraße","2026/02/19 04:47:00","2026/02/19 05:17:00",1.8,"2026/02/19 05:09:00",30,0.081,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,22
"Herzogstraße","2026/02/17 20:26:00","2026/02/17 23:11:00",3.5,"2026/02/17 20:33:00",165,0.493,"Regenereignis / Natürlich",NA,NA,NA,278
