"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","total_precip_mm","max_intensity_mm_h","radolan_verified","points_count"
"Königsallee_Springorum","2026/04/13 18:32:30","2026/04/13 18:59:30",0.5,"2026/04/13 18:47:30",27,0.033,"Leichter Regen / Unterhalb DWD-Schwelle",1.2,0.36,TRUE,55
"Königsallee_Springorum","2026/03/28 08:04:00","2026/03/28 08:17:00",0.5,"2026/03/28 08:11:00",13,0.07,"Leichter Regen / Unterhalb DWD-Schwelle",3.38,4.8,TRUE,27
"Königsallee_Springorum","2026/03/25 08:19:30","2026/03/25 08:53:30",0.6,"2026/03/25 08:32:00",34,0.048,"Leichter Regen / Unterhalb DWD-Schwelle",0.34,1.44,TRUE,69
"Königsallee_Springorum","2026/03/14 04:18:30","2026/03/14 04:39:30",0.5,"2026/03/14 04:24:00",21,0.089,"Leichter Regen / Unterhalb DWD-Schwelle",1.8,1.44,TRUE,43
"Königsallee_Springorum","2026/03/11 12:03:30","2026/03/11 12:22:00",0.6,"2026/03/11 12:17:30",18.5,0.043,"Leichter Regen / Unterhalb DWD-Schwelle",0.39,0.6,TRUE,38
"Königsallee_Springorum","2026/02/19 03:03:00","2026/02/19 04:32:00",0.9,"2026/02/19 03:40:00",89,0.024,"Leichter Regen / Unterhalb DWD-Schwelle",1.13,1.32,TRUE,90
"Königsallee_Springorum","2026/01/24 03:30:00","2026/01/24 04:11:00",0.9,"2026/01/24 03:44:00",41,0.064,"Leichter Regen / Unterhalb DWD-Schwelle",0.46,0.84,TRUE,84
"Königsallee_Springorum","2025/12/10 03:31:00","2025/12/10 04:36:00",0.5,"2025/12/10 03:35:00",65,0.122,"Leichter Regen / Unterhalb DWD-Schwelle",0.19,1.44,TRUE,66
"Königsallee_Springorum","2025/12/06 04:31:00","2025/12/06 04:44:00",0.5,"2025/12/06 04:40:00",13,0.055,"Leichter Regen / Unterhalb DWD-Schwelle",0.3,2.52,TRUE,14
"Königsallee_Springorum","2025/12/03 23:45:00","2025/12/04 00:21:00",0.5,"2025/12/04 00:00:00",36,0.033,"Leichter Regen / Unterhalb DWD-Schwelle",0.75,1.2,TRUE,37
"Königsallee_Springorum","2025/11/28 11:39:00","2025/11/28 11:48:00",0.5,"2025/11/28 11:45:00",9,0.082,"Leichter Regen / Unterhalb DWD-Schwelle",2.97,3.6,TRUE,10
"Königsallee_Springorum","2025/11/19 23:40:00","2025/11/20 00:20:00",0.5,"2025/11/20 00:05:00",40,0.02,"Leichter Regen / Unterhalb DWD-Schwelle",1.85,3.6,TRUE,41
"Königsallee_Springorum","2025/11/16 16:36:00","2025/11/16 18:41:00",0.6,"2025/11/16 18:21:00",125,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",0.21,0.84,TRUE,126
"Königsallee_Springorum","2025/10/29 21:40:00","2025/10/29 22:08:00",0.8,"2025/10/29 21:44:00",28,0.195,"Leichter Regen / Unterhalb DWD-Schwelle",0.28,0.48,TRUE,29
"Königsallee_Springorum","2025/10/27 00:28:00","2025/10/27 01:23:00",0.5,"2025/10/27 00:32:00",55,0.122,"Leichter Regen / Unterhalb DWD-Schwelle",0.51,0.96,TRUE,56
"Königsallee_Springorum","2025/10/23 06:34:00","2025/10/23 06:46:00",0.5,"2025/10/23 06:41:00",12,0.07,"Leichter Regen / Unterhalb DWD-Schwelle",0.88,7.08,TRUE,13
"Königsallee_Springorum","2025/10/23 04:42:00","2025/10/23 04:49:00",0.6,"2025/10/23 04:45:00",7,0.194,"Leichter Regen / Unterhalb DWD-Schwelle",2.4,9.12,TRUE,8
"Königsallee_Springorum","2025/10/23 01:27:00","2025/10/23 02:02:00",0.5,"2025/10/23 01:32:00",35,0.098,"Leichter Regen / Unterhalb DWD-Schwelle",1.4,7.56,TRUE,36
"Königsallee_Springorum","2025/10/04 00:05:00","2025/10/04 02:31:00",0.9,"2025/10/04 00:26:00",146,0.043,"Leichter Regen / Unterhalb DWD-Schwelle",1.91,3.36,TRUE,147
