"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","points_count"
"Wasserbaulabor_2","2026/02/18 09:18:15","2026/02/18 09:48:45",3.1,"2026/02/18 09:36:00",30.5,0.174,"Sturzflut-Ereignis",206
"Wasserbaulabor_2","2025/10/27 12:03:30","2025/10/27 12:27:00",3,"2025/10/27 12:07:45",23.5,0.69,"Sturzflut-Ereignis",84
"Wasserbaulabor_2","2025/09/17 07:38:45","2025/09/17 07:57:45",2.2,"2025/09/17 07:47:45",19,0.242,"Sturzflut-Ereignis",61
"Wasserbaulabor_2","2025/03/08 09:30:00","2025/03/08 10:15:00",24.6,"2025/03/08 09:45:00",45,1.629,"Sturzflut-Ereignis",4
"Wasserbaulabor_2","2025/03/08 07:45:00","2025/03/08 08:15:00",24.6,"2025/03/08 08:00:00",30,1.629,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/03/07 20:15:00","2025/03/07 21:00:00",20.5,"2025/03/07 20:30:00",45,1.358,"Sturzflut-Ereignis",4
"Wasserbaulabor_2","2025/03/07 13:15:00","2025/03/07 14:00:00",19.6,"2025/03/07 13:30:00",45,1.298,"Sturzflut-Ereignis",4
"Wasserbaulabor_2","2025/03/07 01:15:00","2025/03/07 02:15:00",20.1,"2025/03/07 01:30:00",60,1.331,"Sturzflut-Ereignis",5
"Wasserbaulabor_2","2025/03/06 00:15:00","2025/03/06 00:45:00",20.1,"2025/03/06 00:30:00",30,1.331,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/03/05 13:45:00","2025/03/05 14:45:00",20.9,"2025/03/05 14:30:00",60,0.463,"Regenereignis / Natürlich",5
"Wasserbaulabor_2","2025/03/05 00:00:00","2025/03/05 00:30:00",19.3,"2025/03/05 00:15:00",30,1.278,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/03/04 04:15:00","2025/03/04 04:45:00",20,"2025/03/04 04:30:00",30,1.325,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/03/03 21:00:00","2025/03/03 21:30:00",20.8,"2025/03/03 21:15:00",30,1.377,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/03/03 12:30:00","2025/03/03 13:00:00",20.6,"2025/03/03 12:45:00",30,1.364,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/03/02 21:15:00","2025/03/02 22:15:00",20.8,"2025/03/02 21:30:00",60,1.377,"Sturzflut-Ereignis",5
"Wasserbaulabor_2","2025/03/02 17:00:00","2025/03/02 18:00:00",20.9,"2025/03/02 17:15:00",60,1.384,"Sturzflut-Ereignis",5
"Wasserbaulabor_2","2025/03/02 02:45:00","2025/03/02 03:15:00",20.1,"2025/03/02 03:00:00",30,1.331,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/03/01 15:30:00","2025/03/01 16:30:00",20.4,"2025/03/01 16:00:00",60,0.678,"Sturzflut-Ereignis",5
"Wasserbaulabor_2","2025/03/01 04:15:00","2025/03/01 05:00:00",20.2,"2025/03/01 04:45:00",45,0.671,"Sturzflut-Ereignis",4
"Wasserbaulabor_2","2025/02/28 20:30:00","2025/02/28 21:00:00",20.2,"2025/02/28 20:45:00",30,1.338,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/02/28 19:30:00","2025/02/28 20:00:00",20.4,"2025/02/28 19:45:00",30,1.351,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/02/28 10:45:00","2025/02/28 11:30:00",20.9,"2025/02/28 11:15:00",45,0.694,"Sturzflut-Ereignis",4
"Wasserbaulabor_2","2025/02/27 20:00:00","2025/02/27 20:30:00",20.6,"2025/02/27 20:15:00",30,1.364,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/02/27 06:00:00","2025/02/27 06:30:00",20.8,"2025/02/27 06:15:00",30,1.377,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/02/25 00:30:00","2025/02/25 01:30:00",20.3,"2025/02/25 00:45:00",60,1.344,"Sturzflut-Ereignis",5
"Wasserbaulabor_2","2025/02/24 15:30:00","2025/02/24 16:00:00",19.5,"2025/02/24 15:45:00",30,1.291,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/02/24 10:15:00","2025/02/24 10:45:00",20,"2025/02/24 10:30:00",30,1.325,"Sturzflut-Ereignis",3
"Wasserbaulabor_2","2025/02/24 00:15:00","2025/02/24 01:00:00",20.5,"2025/02/24 00:30:00",45,1.358,"Sturzflut-Ereignis",4
"Wasserbaulabor_2","2025/02/23 05:30:00","2025/02/23 06:30:00",20.4,"2025/02/23 05:45:00",60,1.351,"Sturzflut-Ereignis",5
"Wasserbaulabor_2","2025/02/23 01:45:00","2025/02/23 02:45:00",20.1,"2025/02/23 02:15:00",60,0.668,"Sturzflut-Ereignis",5
"Wasserbaulabor_2","2025/02/21 11:00:00","2025/02/21 12:00:00",25.5,"2025/02/21 11:30:00",60,0.847,"Sturzflut-Ereignis",5
"Wasserbaulabor_2","2025/02/21 07:30:00","2025/02/21 08:15:00",25.4,"2025/02/21 07:45:00",45,1.682,"Sturzflut-Ereignis",4
"Wasserbaulabor_2","2025/02/21 06:15:00","2025/02/21 07:00:00",25.3,"2025/02/21 06:30:00",45,1.675,"Sturzflut-Ereignis",4
"Wasserbaulabor_2","2025/02/21 01:00:00","2025/02/21 01:30:00",25.3,"2025/02/21 01:15:00",30,1.675,"Sturzflut-Ereignis",3
