"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","total_precip_mm","max_intensity_mm_h","radolan_verified","level_reliable","points_count"
"Wasserstraße_Springorum","2026/06/26 05:44:00","2026/06/27 01:04:30",1.1,"2026/06/26 15:46:30",1160.5,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",9.3,62.52,TRUE,TRUE,2322
"Wasserstraße_Springorum","2026/06/10 23:22:00","2026/06/11 17:48:00",1.3,"2026/06/11 08:03:30",1106,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",0.94,2.04,TRUE,TRUE,2213
"Wasserstraße_Springorum","2026/06/06 18:56:00","2026/06/06 23:48:30",6.1,"2026/06/06 18:59:30",292.5,1.694,"Sturzflut-Ereignis",0.01,0.12,TRUE,TRUE,586
"Wasserstraße_Springorum","2026/06/06 07:16:30","2026/06/06 16:50:00",1.2,"2026/06/06 13:46:30",573.5,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",0.46,2.16,TRUE,TRUE,1148
"Wasserstraße_Springorum","2026/06/04 22:11:00","2026/06/05 15:28:30",7.5,"2026/06/05 14:43:00",1037.5,0.008,"Regenereignis / Natürlich",6.03,21,TRUE,TRUE,2076
"Wasserstraße_Springorum","2026/06/04 09:45:00","2026/06/04 14:27:30",0.9,"2026/06/04 12:05:00",282.5,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",1.95,9.36,TRUE,TRUE,566
"Wasserstraße_Springorum","2026/06/03 06:12:00","2026/06/03 22:38:00",0.8,"2026/06/03 16:16:30",986,0.001,"Leichter Regen / Unterhalb DWD-Schwelle",1.3,5.76,TRUE,TRUE,1973
"Wasserstraße_Springorum","2026/05/30 05:52:00","2026/05/31 04:40:30",1.1,"2026/05/30 09:54:00",1368.5,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",1.5,1.44,TRUE,TRUE,2738
"Wasserstraße_Springorum","2026/05/13 08:08:30","2026/05/13 11:51:00",0.9,"2026/05/13 08:40:00",222.5,0.028,"Leichter Regen / Unterhalb DWD-Schwelle",0.3,0.72,TRUE,TRUE,446
"Wasserstraße_Springorum","2026/03/29 11:16:00","2026/03/29 21:46:00",1.3,"2026/03/29 12:47:00",630,0.014,"Leichter Regen / Unterhalb DWD-Schwelle",0.77,0.96,TRUE,TRUE,1261
"Wasserstraße_Springorum","2026/03/11 05:51:30","2026/03/11 12:06:00",6.5,"2026/03/11 11:31:30",374.5,0.019,"Regenereignis / Natürlich",1.01,4.8,TRUE,TRUE,750
"Wasserstraße_Springorum","2026/02/19 04:48:00","2026/02/19 11:40:00",4.3,"2026/02/19 08:24:00",412,0.02,"Regenereignis / Natürlich",1.91,3,TRUE,TRUE,413
"Wasserstraße_Springorum","2026/02/18 13:27:00","2026/02/19 02:52:00",1.1,"2026/02/18 13:41:00",805,0.078,"Leichter Regen / Unterhalb DWD-Schwelle",2.02,2.16,TRUE,TRUE,831
"Wasserstraße_Springorum","2025/12/09 17:19:00","2025/12/10 09:41:00",2.7,"2025/12/10 07:27:00",982,0.003,"Regenereignis / Natürlich",0.58,1.44,TRUE,TRUE,983
"Wasserstraße_Springorum","2025/12/05 14:15:00","2025/12/06 04:09:00",4.2,"2025/12/06 04:06:00",834,0.005,"Regenereignis / Natürlich",0.3,2.52,TRUE,TRUE,833
"Wasserstraße_Springorum","2025/12/04 11:03:00","2025/12/05 05:10:00",1.2,"2025/12/04 21:34:00",1087,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",0.57,1.44,TRUE,TRUE,1084
"Wasserstraße_Springorum","2025/12/02 23:03:00","2025/12/03 08:44:00",6.1,"2025/12/03 03:23:00",581,0.023,"Regenereignis / Natürlich",0.9,2.04,TRUE,TRUE,580
"Wasserstraße_Springorum","2025/11/10 02:34:00","2025/11/10 21:25:00",1.5,"2025/11/10 12:38:00",1131,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",1.26,8.4,TRUE,TRUE,1128
"Wasserstraße_Springorum","2025/11/02 09:08:00","2025/11/03 00:00:00",7,"2025/11/02 18:13:00",892,0.013,"Regenereignis / Natürlich",3.14,7.44,TRUE,TRUE,891
"Wasserstraße_Springorum","2025/10/29 14:15:00","2025/10/29 21:33:00",1.4,"2025/10/29 21:00:00",438,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",0.12,0.48,TRUE,TRUE,437
"Wasserstraße_Springorum","2025/10/23 07:44:00","2025/10/23 13:59:00",5.7,"2025/10/23 11:28:00",375,0.025,"Regenereignis / Natürlich",0.32,1.68,TRUE,TRUE,372
"Wasserstraße_Springorum","2025/10/05 07:28:00","2025/10/05 11:21:00",7.1,"2025/10/05 09:10:00",233,0.07,"Regenereignis / Natürlich",0.22,2.16,TRUE,TRUE,232
"Wasserstraße_Springorum","2025/10/04 12:17:00","2025/10/05 01:02:00",1.9,"2025/10/04 20:47:00",765,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",3.82,9.72,TRUE,TRUE,764
"Wasserstraße_Springorum","2025/09/25 09:42:00","2025/09/25 14:30:00",1.3,"2025/09/25 14:10:00",288,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",0.5,2.16,TRUE,TRUE,285
