"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","total_precip_mm","max_intensity_mm_h","radolan_verified","points_count","onset_lag_min","peak_lag_min","precip_onset_time","precip_peak_time","precip_total_mm","precip_max_mm_h"
"Wasserstraße_Springorum","2026/06/06 18:56:00","2026/06/06 23:48:30",6.1,"2026/06/06 18:59:30",292.5,1.694,"Sturzflut-Ereignis",0.01,0.12,TRUE,586,NA,NA,NA,NA,0,0
"An_der_Kost","2026/05/31 03:42:30","2026/05/31 05:28:00",0.7,"2026/05/31 04:49:30",105.5,0.01,"Leichter Regen / Unterhalb DWD-Schwelle",3.72,3.6,TRUE,212,NA,NA,NA,NA,0,0
"An_der_Kost","2026/05/13 13:08:00","2026/05/13 13:58:00",0.4,"2026/05/13 13:13:30",50,0.071,"Leichter Regen / Unterhalb DWD-Schwelle",1.15,0.84,TRUE,101,NA,NA,NA,NA,0,0
"An_der_Kost","2026/05/11 06:13:00","2026/05/11 08:32:00",0.3,"2026/05/11 06:30:00",139,0.018,"Leichter Regen / Unterhalb DWD-Schwelle",29.75,5.16,TRUE,279,NA,NA,NA,NA,0,0
"An_der_Kost","2026/05/05 21:43:00","2026/05/06 03:44:00",0.5,"2026/05/06 00:31:00",361,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",42.9,9.48,TRUE,723,NA,NA,NA,NA,0,0
"An_der_Kost","2026/04/19 00:35:00","2026/04/19 02:05:30",0.4,"2026/04/19 00:45:00",90.5,0.04,"Leichter Regen / Unterhalb DWD-Schwelle",44.02,20.16,TRUE,182,NA,NA,NA,NA,0,0
"An_der_Kost","2026/04/11 19:15:30","2026/04/11 20:16:00",0.3,"2026/04/11 19:21:00",60.5,0.054,"Leichter Regen / Unterhalb DWD-Schwelle",2.91,7.8,TRUE,122,NA,NA,NA,NA,0,0
"An_der_Kost","2026/03/30 01:37:00","2026/03/30 03:07:00",0.4,"2026/03/30 02:15:30",90,0.01,"Leichter Regen / Unterhalb DWD-Schwelle",1.09,2.04,TRUE,181,NA,NA,NA,NA,0,0
"An_der_Kost","2026/03/29 22:34:00","2026/03/29 23:24:30",0.3,"2026/03/29 22:44:00",50.5,0.03,"Leichter Regen / Unterhalb DWD-Schwelle",1.89,2.04,TRUE,102,NA,NA,NA,NA,0,0
"An_der_Kost","2026/03/14 08:47:00","2026/03/14 09:27:00",0.3,"2026/03/14 08:54:30",40,0.039,"Leichter Regen / Unterhalb DWD-Schwelle",0.08,0.96,TRUE,81,NA,NA,NA,NA,0,0
"An_der_Kost","2026/03/13 17:08:00","2026/03/13 21:44:30",0.3,"2026/03/13 17:31:00",276.5,0.013,"Leichter Regen / Unterhalb DWD-Schwelle",8.81,4.2,TRUE,554,NA,NA,NA,NA,0,0
"An_der_Kost","2026/03/13 10:40:00","2026/03/13 16:06:30",0.5,"2026/03/13 13:20:00",326.5,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",1.05,3.12,TRUE,654,NA,NA,NA,NA,0,0
"An_der_Kost","2026/03/11 13:17:30","2026/03/11 14:50:30",0.3,"2026/03/11 14:14:30",93,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",2.91,2.52,TRUE,187,NA,NA,NA,NA,0,0
"An_der_Kost","2026/02/23 21:56:00","2026/02/24 04:06:00",0.5,"2026/02/24 03:24:00",370,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",1.99,1.56,TRUE,371,NA,NA,NA,NA,0,0
"An_der_Kost","2026/02/22 17:17:00","2026/02/22 19:24:00",0.4,"2026/02/22 17:20:00",127,0.129,"Leichter Regen / Unterhalb DWD-Schwelle",4.49,4.68,TRUE,128,NA,NA,NA,NA,0,0
"An_der_Kost","2026/02/22 09:59:00","2026/02/22 15:21:00",0.4,"2026/02/22 11:29:00",322,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",0.43,2.52,TRUE,323,NA,NA,NA,NA,0,0
