timestamp,station,precipitation_mm
2026-09-10T21:05:00Z,An der Kost,0
2026-09-10T21:05:00Z,Wasserstraße,0
2026-09-10T21:05:00Z,Königsallee,0
2026-09-10T21:05:00Z,Wasserbaulabor 2,0
2026-09-10T21:05:00Z,Herzogstraße,0
2026-09-10T21:10:00Z,An der Kost,0
2026-09-10T21:10:00Z,Wasserstraße,0
2026-09-10T21:10:00Z,Königsallee,0
2026-09-10T21:10:00Z,Wasserbaulabor 2,0
2026-09-10T21:10:00Z,Herzogstraße,0
2026-09-10T21:15:00Z,An der Kost,0
2026-09-10T21:15:00Z,Wasserstraße,0
2026-09-10T21:15:00Z,Königsallee,0
2026-09-10T21:15:00Z,Wasserbaulabor 2,0
2026-09-10T21:15:00Z,Herzogstraße,0
2026-09-10T21:20:00Z,An der Kost,0
2026-09-10T21:20:00Z,Wasserstraße,0
2026-09-10T21:20:00Z,Königsallee,0
2026-09-10T21:20:00Z,Wasserbaulabor 2,0
2026-09-10T21:20:00Z,Herzogstraße,0
2026-09-10T21:25:00Z,An der Kost,0
2026-09-10T21:25:00Z,Wasserstraße,0
2026-09-10T21:25:00Z,Königsallee,0
2026-09-10T21:25:00Z,Wasserbaulabor 2,0
2026-09-10T21:25:00Z,Herzogstraße,0
2026-09-10T21:30:00Z,An der Kost,0
2026-09-10T21:30:00Z,Wasserstraße,0
2026-09-10T21:30:00Z,Königsallee,0
2026-09-10T21:30:00Z,Wasserbaulabor 2,0
2026-09-10T21:30:00Z,Herzogstraße,0
2026-09-10T21:35:00Z,An der Kost,0
2026-09-10T21:35:00Z,Wasserstraße,0
2026-09-10T21:35:00Z,Königsallee,0
2026-09-10T21:35:00Z,Wasserbaulabor 2,0
2026-09-10T21:35:00Z,Herzogstraße,0
2026-09-10T21:40:00Z,An der Kost,0
2026-09-10T21:40:00Z,Wasserstraße,0
2026-09-10T21:40:00Z,Königsallee,0
2026-09-10T21:40:00Z,Wasserbaulabor 2,0
2026-09-10T21:40:00Z,Herzogstraße,0
2026-09-10T21:45:00Z,An der Kost,0
2026-09-10T21:45:00Z,Wasserstraße,0
2026-09-10T21:45:00Z,Königsallee,0
2026-09-10T21:45:00Z,Wasserbaulabor 2,0
2026-09-10T21:45:00Z,Herzogstraße,0
2026-09-10T21:50:00Z,An der Kost,0
2026-09-10T21:50:00Z,Wasserstraße,0
2026-09-10T21:50:00Z,Königsallee,0
2026-09-10T21:50:00Z,Wasserbaulabor 2,0
2026-09-10T21:50:00Z,Herzogstraße,0
2026-09-10T21:55:00Z,An der Kost,0
2026-09-10T21:55:00Z,Wasserstraße,0
2026-09-10T21:55:00Z,Königsallee,0
2026-09-10T21:55:00Z,Wasserbaulabor 2,0
2026-09-10T21:55:00Z,Herzogstraße,0
2026-09-10T22:00:00Z,An der Kost,0
2026-09-10T22:00:00Z,Wasserstraße,0
2026-09-10T22:00:00Z,Königsallee,0
2026-09-10T22:00:00Z,Wasserbaulabor 2,0
2026-09-10T22:00:00Z,Herzogstraße,0
2026-09-10T22:05:00Z,An der Kost,0
2026-09-10T22:05:00Z,Wasserstraße,0
2026-09-10T22:05:00Z,Königsallee,0
2026-09-10T22:05:00Z,Wasserbaulabor 2,0
2026-09-10T22:05:00Z,Herzogstraße,0
2026-09-10T22:10:00Z,An der Kost,0
2026-09-10T22:10:00Z,Wasserstraße,0
2026-09-10T22:10:00Z,Königsallee,0
2026-09-10T22:10:00Z,Wasserbaulabor 2,0
2026-09-10T22:10:00Z,Herzogstraße,0
2026-09-10T22:15:00Z,An der Kost,0
2026-09-10T22:15:00Z,Wasserstraße,0
2026-09-10T22:15:00Z,Königsallee,0
2026-09-10T22:15:00Z,Wasserbaulabor 2,0
2026-09-10T22:15:00Z,Herzogstraße,0
2026-09-10T22:20:00Z,An der Kost,0
2026-09-10T22:20:00Z,Wasserstraße,0
2026-09-10T22:20:00Z,Königsallee,0
2026-09-10T22:20:00Z,Wasserbaulabor 2,0
2026-09-10T22:20:00Z,Herzogstraße,0
2026-09-10T22:25:00Z,An der Kost,0
2026-09-10T22:25:00Z,Wasserstraße,0
2026-09-10T22:25:00Z,Königsallee,0
2026-09-10T22:25:00Z,Wasserbaulabor 2,0
2026-09-10T22:25:00Z,Herzogstraße,0
2026-09-10T22:30:00Z,An der Kost,0
2026-09-10T22:30:00Z,Wasserstraße,0
2026-09-10T22:30:00Z,Königsallee,0
2026-09-10T22:30:00Z,Wasserbaulabor 2,0
2026-09-10T22:30:00Z,Herzogstraße,0
2026-09-10T22:35:00Z,An der Kost,0
2026-09-10T22:35:00Z,Wasserstraße,0
2026-09-10T22:35:00Z,Königsallee,0
2026-09-10T22:35:00Z,Wasserbaulabor 2,0
2026-09-10T22:35:00Z,Herzogstraße,0
2026-09-10T22:40:00Z,An der Kost,0
2026-09-10T22:40:00Z,Wasserstraße,0
2026-09-10T22:40:00Z,Königsallee,0
2026-09-10T22:40:00Z,Wasserbaulabor 2,0
2026-09-10T22:40:00Z,Herzogstraße,0
2026-09-10T22:45:00Z,An der Kost,0
2026-09-10T22:45:00Z,Wasserstraße,0
2026-09-10T22:45:00Z,Königsallee,0
2026-09-10T22:45:00Z,Wasserbaulabor 2,0
2026-09-10T22:45:00Z,Herzogstraße,0
2026-09-10T22:50:00Z,An der Kost,0
2026-09-10T22:50:00Z,Wasserstraße,0
2026-09-10T22:50:00Z,Königsallee,0
2026-09-10T22:50:00Z,Wasserbaulabor 2,0
2026-09-10T22:50:00Z,Herzogstraße,0
2026-09-10T22:55:00Z,An der Kost,0
2026-09-10T22:55:00Z,Wasserstraße,0
2026-09-10T22:55:00Z,Königsallee,0
2026-09-10T22:55:00Z,Wasserbaulabor 2,0
2026-09-10T22:55:00Z,Herzogstraße,0
2026-09-10T23:00:00Z,An der Kost,0
2026-09-10T23:00:00Z,Wasserstraße,0
2026-09-10T23:00:00Z,Königsallee,0
2026-09-10T23:00:00Z,Wasserbaulabor 2,0
2026-09-10T23:00:00Z,Herzogstraße,0
2026-09-10T23:05:00Z,An der Kost,0
2026-09-10T23:05:00Z,Wasserstraße,0
2026-09-10T23:05:00Z,Königsallee,0
2026-09-10T23:05:00Z,Wasserbaulabor 2,0
2026-09-10T23:05:00Z,Herzogstraße,0
2026-09-10T23:10:00Z,An der Kost,0
2026-09-10T23:10:00Z,Wasserstraße,0
2026-09-10T23:10:00Z,Königsallee,0
2026-09-10T23:10:00Z,Wasserbaulabor 2,0
2026-09-10T23:10:00Z,Herzogstraße,0
2026-09-10T23:15:00Z,An der Kost,0
2026-09-10T23:15:00Z,Wasserstraße,0
2026-09-10T23:15:00Z,Königsallee,0
2026-09-10T23:15:00Z,Wasserbaulabor 2,0
2026-09-10T23:15:00Z,Herzogstraße,0
2026-09-10T23:20:00Z,An der Kost,0
2026-09-10T23:20:00Z,Wasserstraße,0
2026-09-10T23:20:00Z,Königsallee,0
2026-09-10T23:20:00Z,Wasserbaulabor 2,0
2026-09-10T23:20:00Z,Herzogstraße,0
2026-09-10T23:25:00Z,An der Kost,0
2026-09-10T23:25:00Z,Wasserstraße,0
2026-09-10T23:25:00Z,Königsallee,0
2026-09-10T23:25:00Z,Wasserbaulabor 2,0
2026-09-10T23:25:00Z,Herzogstraße,0
2026-09-10T23:30:00Z,An der Kost,0
2026-09-10T23:30:00Z,Wasserstraße,0
2026-09-10T23:30:00Z,Königsallee,0
2026-09-10T23:30:00Z,Wasserbaulabor 2,0
2026-09-10T23:30:00Z,Herzogstraße,0
2026-09-10T23:35:00Z,An der Kost,0
