"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","level_reliable","points_count","total_precip_mm","max_intensity_mm_h","radolan_verified","dwd_risk_level"
"Königsallee_Springorum","2026/06/09 00:22:30","2026/06/09 00:49:00",0.6,"2026/06/09 00:26:30",26.5,0.146,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,4,0.72,7.56,TRUE,"Level 1 – Leichter Regen (0.5–15 mm/h)"
"Königsallee_Springorum","2026/02/06 14:31:00","2026/02/06 14:59:00",0.8,"2026/02/06 14:56:00",28,0.032,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,28,0.3,1.08,TRUE,"Level 1 – Leichter Regen (0.5–15 mm/h)"
"Königsallee_Springorum","2026/01/27 20:00:00","2026/01/27 20:59:00",0.7,"2026/01/27 20:24:00",59,0.029,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,72,1.17,2.16,TRUE,"Level 1 – Leichter Regen (0.5–15 mm/h)"
"Königsallee_Springorum","2026/01/25 18:02:00","2026/01/25 19:59:00",0.8,"2026/01/25 18:17:00",117,0.053,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,34,0.06,0.36,TRUE,"Level 0 – Kein nennenswerter Regen"
"Königsallee_Springorum","2026/01/24 03:23:00","2026/01/24 04:09:00",1,"2026/01/24 03:44:00",46,0.047,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,64,0.46,0.84,TRUE,"Level 1 – Leichter Regen (0.5–15 mm/h)"
"Königsallee_Springorum","2026/01/22 21:12:00","2026/01/22 22:58:00",0.7,"2026/01/22 22:38:00",106,0.008,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,70,0.16,0.84,TRUE,"Level 1 – Leichter Regen (0.5–15 mm/h)"
"Königsallee_Springorum","2026/01/14 12:06:00","2026/01/14 12:24:00",0.6,"2026/01/14 12:20:00",18,0.043,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,4,0.01,0.12,TRUE,"Level 0 – Kein nennenswerter Regen"
"An_der_Kost","2026/01/14 05:29:00","2026/01/14 06:35:00",0.7,"2026/01/14 06:29:00",66,0.012,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,30,0.36,0.96,TRUE,"Level 1 – Leichter Regen (0.5–15 mm/h)"
"Königsallee_Springorum","2025/12/03 21:12:00","2025/12/03 22:59:00",0.9,"2025/12/03 22:10:00",107,0.015,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,14,0.27,1.2,TRUE,"Level 1 – Leichter Regen (0.5–15 mm/h)"
"Königsallee_Springorum","2025/11/28 17:29:00","2025/11/28 17:59:00",0.6,"2025/11/28 17:49:00",30,0.03,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,6,0.31,3,TRUE,"Level 1 – Leichter Regen (0.5–15 mm/h)"
"Königsallee_Springorum","2025/10/04 00:24:00","2025/10/04 00:48:00",0.7,"2025/10/04 00:27:00",24,0.226,"Leichter Regen / Unterhalb DWD-Schwelle",TRUE,19,1.67,3.36,TRUE,"Level 1 – Leichter Regen (0.5–15 mm/h)"
