station,timestamp,precipitation_mm,probability_percent,temp_c
An der Kost,2026-07-23T22:00:00Z,0,0,16.5
An der Kost,2026-07-23T23:00:00Z,0,0,15.3
An der Kost,2026-07-24T00:00:00Z,0,0,14.4
An der Kost,2026-07-24T01:00:00Z,0,0,13.9
An der Kost,2026-07-24T02:00:00Z,0,0,13.3
An der Kost,2026-07-24T03:00:00Z,0,0,12.5
An der Kost,2026-07-24T04:00:00Z,0,0,13.5
An der Kost,2026-07-24T05:00:00Z,0,0,14.3
An der Kost,2026-07-24T06:00:00Z,0,0,15.1
An der Kost,2026-07-24T07:00:00Z,0,0,16.2
An der Kost,2026-07-24T08:00:00Z,0,0,17.4
An der Kost,2026-07-24T09:00:00Z,0,0,18.5
An der Kost,2026-07-24T10:00:00Z,0,0,20.6
An der Kost,2026-07-24T11:00:00Z,0,0,21.5
An der Kost,2026-07-24T12:00:00Z,0,0,22.9
An der Kost,2026-07-24T13:00:00Z,0,0,23.4
An der Kost,2026-07-24T14:00:00Z,0,0,24.2
An der Kost,2026-07-24T15:00:00Z,0,0,24.9
An der Kost,2026-07-24T16:00:00Z,0,0,25.2
An der Kost,2026-07-24T17:00:00Z,0,0,24.9
An der Kost,2026-07-24T18:00:00Z,0,0,24.4
An der Kost,2026-07-24T19:00:00Z,0,0,23.6
An der Kost,2026-07-24T20:00:00Z,0,0,22.1
An der Kost,2026-07-24T21:00:00Z,0,0,20.9
An der Kost,2026-07-24T22:00:00Z,0,0,19.5
An der Kost,2026-07-24T23:00:00Z,0,0,18.3
An der Kost,2026-07-25T00:00:00Z,0,0,17.7
An der Kost,2026-07-25T01:00:00Z,0,0,17.3
An der Kost,2026-07-25T02:00:00Z,0,0,16.9
An der Kost,2026-07-25T03:00:00Z,0,0,16.5
An der Kost,2026-07-25T04:00:00Z,0,0,16.2
An der Kost,2026-07-25T05:00:00Z,0,0,17.3
An der Kost,2026-07-25T06:00:00Z,0,0,19.7
An der Kost,2026-07-25T07:00:00Z,0,0,22
An der Kost,2026-07-25T08:00:00Z,0,0,23.5
An der Kost,2026-07-25T09:00:00Z,0,0,25.4
An der Kost,2026-07-25T10:00:00Z,0,0,27
An der Kost,2026-07-25T11:00:00Z,0,0,28.3
An der Kost,2026-07-25T12:00:00Z,0,0,29.3
An der Kost,2026-07-25T13:00:00Z,0,0,29.8
An der Kost,2026-07-25T14:00:00Z,0,0,29.6
An der Kost,2026-07-25T15:00:00Z,0,0,29.5
An der Kost,2026-07-25T16:00:00Z,0,1,29.3
An der Kost,2026-07-25T17:00:00Z,0,2,28.6
An der Kost,2026-07-25T18:00:00Z,0,2,27.5
An der Kost,2026-07-25T19:00:00Z,0,1,26.2
An der Kost,2026-07-25T20:00:00Z,0,1,24.5
An der Kost,2026-07-25T21:00:00Z,0,0,23.4
An der Kost,2026-07-25T22:00:00Z,0,1,22.3
An der Kost,2026-07-25T23:00:00Z,0,1,21.1
An der Kost,2026-07-26T00:00:00Z,0,2,20
An der Kost,2026-07-26T01:00:00Z,0,1,19
An der Kost,2026-07-26T02:00:00Z,0,0,18.3
An der Kost,2026-07-26T03:00:00Z,0,0,17.7
An der Kost,2026-07-26T04:00:00Z,0,1,17.3
An der Kost,2026-07-26T05:00:00Z,0,2,18.4
An der Kost,2026-07-26T06:00:00Z,0,6,20.5
An der Kost,2026-07-26T07:00:00Z,0,12,21.1
An der Kost,2026-07-26T08:00:00Z,0,20,21
An der Kost,2026-07-26T09:00:00Z,0,29,21.7
An der Kost,2026-07-26T10:00:00Z,0.05,38,21.2
An der Kost,2026-07-26T11:00:00Z,0.08,48,22.4
An der Kost,2026-07-26T12:00:00Z,0,57,23.9
An der Kost,2026-07-26T13:00:00Z,0.6,66,23.5
An der Kost,2026-07-26T14:00:00Z,1.3,75,20.7
An der Kost,2026-07-26T15:00:00Z,1,82,20.8
An der Kost,2026-07-26T16:00:00Z,0.1,87,22.5
An der Kost,2026-07-26T17:00:00Z,0.6,90,20.4
An der Kost,2026-07-26T18:00:00Z,0.9,90,18.6
An der Kost,2026-07-26T19:00:00Z,0,88,18.7
An der Kost,2026-07-26T20:00:00Z,2.5,83,17.3
An der Kost,2026-07-26T21:00:00Z,1,76,17.7
An der Kost,2026-07-26T22:00:00Z,0,65,17.2
An der Kost,2026-07-26T23:00:00Z,0,53,16.8
An der Kost,2026-07-27T00:00:00Z,0,43,16.7
An der Kost,2026-07-27T01:00:00Z,0,38,16
An der Kost,2026-07-27T02:00:00Z,0,36,15.8
An der Kost,2026-07-27T03:00:00Z,0,35,15.5
An der Kost,2026-07-27T04:00:00Z,0,34,15.3
An der Kost,2026-07-27T05:00:00Z,0,33,15.6
An der Kost,2026-07-27T06:00:00Z,0,33,16.2
An der Kost,2026-07-27T07:00:00Z,0,35,17.2
An der Kost,2026-07-27T08:00:00Z,0,37,18.5
An der Kost,2026-07-27T09:00:00Z,0,41,19.5
An der Kost,2026-07-27T10:00:00Z,0.1,47,20.7
An der Kost,2026-07-27T11:00:00Z,0.1,54,21.7
An der Kost,2026-07-27T12:00:00Z,0,57,22.2
An der Kost,2026-07-27T13:00:00Z,0,53,22.5
An der Kost,2026-07-27T14:00:00Z,0,46,22.5
An der Kost,2026-07-27T15:00:00Z,0,39,22.4
An der Kost,2026-07-27T16:00:00Z,0,33,22.4
An der Kost,2026-07-27T17:00:00Z,0,28,22.3
An der Kost,2026-07-27T18:00:00Z,0,22,21.8
An der Kost,2026-07-27T19:00:00Z,0,14,20.8
An der Kost,2026-07-27T20:00:00Z,0,6,19.4
An der Kost,2026-07-27T21:00:00Z,0,0,18.2
An der Kost,2026-07-27T22:00:00Z,0,0,17.4
An der Kost,2026-07-27T23:00:00Z,0,0,16.8
An der Kost,2026-07-28T00:00:00Z,0,0,16.2
An der Kost,2026-07-28T01:00:00Z,0,0,15.5
An der Kost,2026-07-28T02:00:00Z,0,0,14.8
An der Kost,2026-07-28T03:00:00Z,0,0,14.7
An der Kost,2026-07-28T04:00:00Z,0,0,15.4
An der Kost,2026-07-28T05:00:00Z,0,0,16.6
An der Kost,2026-07-28T06:00:00Z,0,0,17.9
An der Kost,2026-07-28T07:00:00Z,0,1,19.5
An der Kost,2026-07-28T08:00:00Z,0,2,21.3
An der Kost,2026-07-28T09:00:00Z,0,2,22.9
An der Kost,2026-07-28T10:00:00Z,0,2,24.1
An der Kost,2026-07-28T11:00:00Z,0,1,25.2
An der Kost,2026-07-28T12:00:00Z,0,0,26
An der Kost,2026-07-28T13:00:00Z,0,0,26.6
An der Kost,2026-07-28T14:00:00Z,0,0,27.1
An der Kost,2026-07-28T15:00:00Z,0,0,27.4
An der Kost,2026-07-28T16:00:00Z,0,1,27.4
An der Kost,2026-07-28T17:00:00Z,0,2,27.2
An der Kost,2026-07-28T18:00:00Z,0,2,26.5
An der Kost,2026-07-28T19:00:00Z,0,2,25
An der Kost,2026-07-28T20:00:00Z,0,1,23
An der Kost,2026-07-28T21:00:00Z,0,0,21.4
An der Kost,2026-07-28T22:00:00Z,0,0,20.6
