station,start_time,end_time,peak_level_cm,peak_time,duration_min,avg_gradient_cm_min,points_count,rain_yard_mm,rain_garden_mm,total_rain_mm,rain_verified
Königsallee_Springorum,2026-02-19T04:22:00Z,2026-02-19T04:22:00Z,1.8,2026/02/19 04:22:00,0,18,1,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-10T17:56:00Z,2026-02-10T17:56:00Z,5,2026/02/10 17:56:00,0,50,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-10T09:46:00Z,2026-02-10T09:46:00Z,5.4,2026/02/10 09:46:00,0,54,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-09T18:52:00Z,2026-02-09T18:52:00Z,2.2,2026/02/09 18:52:00,0,22,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-09T13:35:00Z,2026-02-09T13:35:00Z,3.1,2026/02/09 13:35:00,0,31,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-09T06:12:00Z,2026-02-09T06:12:00Z,2.9,2026/02/09 06:12:00,0,29,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-07T20:07:00Z,2026-02-07T20:07:00Z,4.2,2026/02/07 20:07:00,0,42,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-05T19:22:00Z,2026-02-05T19:22:00Z,2.2,2026/02/05 19:22:00,0,22,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-05T07:15:00Z,2026-02-05T07:15:00Z,1.9,2026/02/05 07:15:00,0,19,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-03T05:52:00Z,2026-02-03T05:52:00Z,1.6,2026/02/03 05:52:00,0,16,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-02T17:59:00Z,2026-02-02T17:59:00Z,4.2,2026/02/02 17:59:00,0,42,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-02-02T12:07:00Z,2026-02-02T12:07:00Z,1.6,2026/02/02 12:07:00,0,16,2,0,0,0,FALSE
Königsallee_Springorum,2026-01-22T07:23:00Z,2026-01-22T07:23:00Z,2.3,2026/01/22 07:23:00,0,23,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-01-21T19:13:00Z,2026-01-21T19:13:00Z,5.1,2026/01/21 19:13:00,0,51,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-01-21T15:00:00Z,2026-01-21T15:00:00Z,4.4,2026/01/21 15:00:00,0,44,2,0,0,0,FALSE
Wasserstraße_Springorum,2026-01-21T08:24:00Z,2026-01-21T08:33:00Z,5.2,2026/01/21 08:33:00,9,0.571,4,0,0,0,FALSE
