station,start_time,end_time,peak_level_cm,peak_time,duration_min,avg_gradient_cm_min,points_count
Herzogstraße_merged_export,2026-02-04T11:56:00Z,2026-02-04T12:35:00Z,29.9,2026-02-04T11:56:00Z,39,299,40
Wasserbaulabor_2_merged_export,2025-11-20T11:10:15Z,2025-11-22T08:41:45Z,29.9,2025-11-20T20:12:45Z,2731.5,0.055,9531
Wasserbaulabor_2_merged_export,2025-02-21T19:30:00Z,2025-02-21T19:45:00Z,29.8,2025-02-21T19:30:00Z,15,298,2
Herzogstraße_merged_export,2026-01-27T05:57:00Z,2026-01-27T06:26:00Z,29.7,2026-01-27T06:08:00Z,29,2.676,30
Wasserbaulabor_2_merged_export,2025-02-26T09:30:00Z,2025-02-26T09:45:00Z,29.7,2025-02-26T09:30:00Z,15,297,2
Herzogstraße_merged_export,2025-12-26T14:35:00Z,2025-12-26T17:15:00Z,29.6,2025-12-26T14:35:00Z,160,296,161
Wasserbaulabor_2_merged_export,2025-03-05T22:15:00Z,2025-03-05T23:30:00Z,29.6,2025-03-05T23:00:00Z,75,0.656,6
Herzogstraße_merged_export,2026-01-28T11:43:00Z,2026-01-28T12:19:00Z,29.4,2026-01-28T11:43:00Z,36,294,37
Herzogstraße_merged_export,2025-12-16T14:26:00Z,2025-12-16T14:50:00Z,29.4,2025-12-16T14:39:00Z,24,2.244,25
Herzogstraße_merged_export,2025-10-08T12:11:00Z,2025-10-08T14:27:00Z,29.2,2025-10-08T12:47:00Z,136,0.809,134
Wasserbaulabor_2_merged_export,2025-03-03T10:00:00Z,2025-03-03T10:15:00Z,29.2,2025-03-03T10:15:00Z,15,1.934,2
Wasserbaulabor_2_merged_export,2025-02-26T23:45:00Z,2025-02-27T00:00:00Z,29.2,2025-02-26T23:45:00Z,15,292,2
Wasserbaulabor_2_merged_export,2025-02-24T06:15:00Z,2025-02-24T06:30:00Z,29.2,2025-02-24T06:15:00Z,15,292,2
Wasserbaulabor_2_merged_export,2025-02-21T20:30:00Z,2025-02-21T22:30:00Z,29.1,2025-02-21T21:15:00Z,120,0.645,9
Herzogstraße_merged_export,2026-02-04T08:06:00Z,2026-02-04T09:47:00Z,28.9,2026-02-04T08:06:00Z,101,289,102
Wasserbaulabor_2_merged_export,2025-03-03T16:00:00Z,2025-03-03T16:15:00Z,28.9,2025-03-03T16:00:00Z,15,289,2
Herzogstraße_merged_export,2025-12-25T15:36:00Z,2025-12-26T11:51:00Z,28.5,2025-12-25T15:45:00Z,1215,3.132,1216
Herzogstraße_merged_export,2025-11-14T13:38:00Z,2025-11-14T13:52:00Z,28.5,2025-11-14T13:40:00Z,14,13.571,15
Wasserbaulabor_2_merged_export,2025-02-23T08:15:00Z,2025-02-23T09:45:00Z,28.5,2025-02-23T09:15:00Z,90,0.474,7
Herzogstraße_merged_export,2025-12-28T11:26:00Z,2025-12-28T17:37:00Z,27.5,2025-12-28T11:26:00Z,371,275,372
Wasserbaulabor_2_merged_export,2025-02-21T12:30:00Z,2025-02-21T15:00:00Z,26.1,2025-02-21T12:45:00Z,150,1.728,11
Herzogstraße_merged_export,2025-11-12T20:02:00Z,2025-11-13T05:26:00Z,26,2025-11-12T20:02:00Z,564,260,550
Herzogstraße_merged_export,2025-11-08T15:37:00Z,2025-11-08T16:19:00Z,26,2025-11-08T15:37:00Z,42,260,43
Wasserbaulabor_2_merged_export,2025-02-21T15:45:00Z,2025-02-21T17:00:00Z,25.8,2025-02-21T16:15:00Z,75,0.857,6
Wasserbaulabor_2_merged_export,2025-02-21T08:45:00Z,2025-02-21T09:00:00Z,25.8,2025-02-21T08:45:00Z,15,258,2
Herzogstraße_merged_export,2026-01-22T17:11:00Z,2026-01-22T18:58:00Z,25.7,2026-01-22T17:11:00Z,107,257,108
Herzogstraße_merged_export,2025-10-14T08:25:00Z,2025-10-14T09:17:00Z,25.5,2025-10-14T08:25:00Z,52,255,51
Wasserbaulabor_2_merged_export,2025-02-21T11:00:00Z,2025-02-21T12:00:00Z,25.5,2025-02-21T11:30:00Z,60,0.847,5
Herzogstraße_merged_export,2025-12-17T15:06:00Z,2025-12-17T15:11:00Z,25.4,2025-12-17T15:06:00Z,5,254,6
Herzogstraße_merged_export,2025-11-14T16:26:00Z,2025-11-14T17:10:00Z,25.4,2025-11-14T16:26:00Z,44,254,45
